"city","state","lat","lon"
"Alstown","WA",47.561,-119.9951
"Synarep","WA",48.521,-119.3309
"Annapolis","WA",47.5476,-122.6207
"Port Gamble","WA",47.8543,-122.5838
"Eatonville","WA",46.8682,-122.2697
"Similk Beach","WA",48.4479,-122.5779
"Cougar","WA",46.0515,-122.2995
"Eglon","WA",47.8626,-122.5146
"Paterson","WA",45.9371,-119.6028
"Tenino","WA",46.8537,-122.8607
"Minnehaha","WA",45.6577,-122.6204
"Raymond","WA",46.6838,-123.7381
"Alger","WA",48.6176,-122.3369
"Roy","WA",46.9971,-122.5423
"Almira","WA",47.7105,-118.9369
"Fragaria","WA",47.464,-122.5312
"Green Bluff","WA",47.819,-117.277
"Woodmont Beach","WA",47.3615,-122.3121
"Frances","WA",46.5423,-123.5049
"Lynden","WA",48.9503,-122.4544
"Clayton","WA",48.0012,-117.5611
"Everson","WA",48.9123,-122.351
"White Swan","WA",46.3769,-120.7382
"Camano","WA",48.1865,-122.4708
"Cedar Grove","WA",47.4357,-122.0621
"Winton","WA",47.7354,-120.7412
"East Olympia","WA",46.9676,-122.8357
"Sunset Beach","WA",47.2182,-122.5726
"Belfair","WA",47.4512,-122.8473
"Oso","WA",48.2836,-121.9238
"Federal Way","WA",47.309,-122.3359
"Scandia","WA",47.7165,-122.6579
"Quilcene","WA",47.8369,-122.9058
"Covada","WA",48.2204,-118.2089
"Keyport","WA",47.6993,-122.6232
"Juanita","WA",47.7032,-122.2071
"Molson","WA",48.981,-119.2006
"Daisy","WA",48.3613,-118.16
"Sumas","WA",48.9956,-122.2695
"Mill Creek","WA",47.8633,-122.2034
"Lakewood","WA",47.1628,-122.5299
"Venersborg","WA",45.786,-122.4721
"West Lake Sammamish","WA",47.5776,-122.1012
"Port Angeles","WA",48.1142,-123.4565
"Longview","WA",46.146,-122.963
"Fairmont","WA",47.902,-122.2543
"Wapato","WA",46.4434,-120.4215
"East Port Orchard","WA",47.5193,-122.6183
"North Omak","WA",48.444,-119.4459
"East Farms","WA",47.7074,-117.0524
"Eschbach","WA",46.667,-120.6337
"Chattaroy","WA",47.8896,-117.3577
"Inchelium","WA",48.3378,-118.2372
"Maxwelton","WA",47.9373,-122.4443
"White Center","WA",47.5086,-122.348
"Medical Lake","WA",47.5713,-117.6893
"Lyman","WA",48.523,-122.0634
"Arlington","WA",48.1697,-122.1446
"Ruston","WA",47.2982,-122.51
"McCleary","WA",47.0584,-123.2723
"Sammamish","WA",47.6019,-122.0419
"Covington","WA",47.3668,-122.1044
